bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid
7096,Yuin,-27.9808,116.0347,WA,"rain gauge;",data,Greenough River,Private owner,2024/10/10 00:00:00,8114
3099,Leopold Downs Tbrg,-17.7535,125.3807,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8115
3100,Liveringa Station,-17.9503,124.2653,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8116
3101,Dampier Downs Airstrip,-18.5096,123.4676,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8117
4006,Bonney Downs,-22.1828,119.935,WA,"rain gauge;",data,De Grey River,Private owner,2024/10/10 00:00:00,8118
4008,Carlindie,-20.6392,119.2431,WA,"rain gauge;",data,De Grey River,Private owner,2024/10/10 00:00:00,8119
4012,De Grey,-20.1756,119.1908,WA,"rain gauge;",data,De Grey River,Private owner,2024/10/10 00:00:00,8120
4016,Indee,-20.7867,118.5972,WA,"rain gauge;",data,Port Hedland Coast,Private owner,2024/10/10 00:00:00,8121
4019,Mandora,-19.7419,120.8433,WA,"rain gauge;",data,Sandy Desert,Bureau of Meteorology,2024/10/10 00:00:00,8122
4024,Mundabullangana,-20.5192,118.0603,WA,"rain gauge;",data,Port Hedland Coast,Private owner,2024/10/10 00:00:00,8123
4028,Pardoo Station,-20.1078,119.5811,WA,"rain gauge;",data,De Grey River,Private owner,2024/10/10 00:00:00,8124
4032,Port Hedland Airport,-20.3725,118.6317,WA,"rain gauge;",data,Port Hedland Coast,Bureau of Meteorology,2024/10/10 00:00:00,8125
4033,Pyramid Station,-21.0561,117.4436,WA,"rain gauge;",data,Port Hedland Coast,Private owner,2024/10/10 00:00:00,8126
4038,Wallareenya,-20.7483,118.8172,WA,"rain gauge;",data,Port Hedland Coast,Private owner,2024/10/10 00:00:00,8127
4041,Warrawagine,-20.8508,120.6961,WA,"rain gauge;",data,De Grey River,Private owner,2024/10/10 00:00:00,8128
4042,Whim Creek,-20.8414,117.8353,WA,"rain gauge;",data,Port Hedland Coast,Private owner,2024/10/10 00:00:00,8129
4046,Yarrie,-20.6739,120.2044,WA,"rain gauge;",data,De Grey River,Private owner,2024/10/10 00:00:00,8130
4068,Wallal Downs,-19.7789,120.6417,WA,"rain gauge;",data,Sandy Desert,Private owner,2024/10/10 00:00:00,8131
4083,Karratha Aero,-20.7097,116.7742,WA,"rain gauge;",data,Port Hedland Coast,Bureau of Meteorology,2024/10/10 00:00:00,8132
4086,Sherlock,-20.8956,117.6447,WA,"rain gauge;",data,Port Hedland Coast,Private owner,2024/10/10 00:00:00,8133
4090,Roebourne Aero,-20.7594,117.1583,WA,"rain gauge;",data,Port Hedland Coast,Bureau of Meteorology,2024/10/10 00:00:00,8134
4103,Nifty Copper Mine,-21.6525,121.5592,WA,"rain gauge;",data,Sandy Desert,Private owner,2024/10/10 00:00:00,8135
4106,Marble Bar,-21.1756,119.7497,WA,"rain gauge;",data,De Grey River,Bureau of Meteorology,2024/10/10 00:00:00,8136
5001,Coolawanyah,-21.8047,117.8056,WA,"rain gauge;",data,Fortescue River,Private owner,2024/10/10 00:00:00,8137
5004,Exmouth Gulf,-22.3761,114.1105,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8138
5005,Hamersley,-22.2794,117.6775,WA,"rain gauge;",data,Fortescue River,Private owner,2024/10/10 00:00:00,8139
