bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid,URL
541088,Broadwater Creek Alert,-28.5986,151.8883,qld,rain gauge;water level gauge;model point;,information,Border Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13462,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
541090,Accommodation Creek Alert,-28.8081,151.8364,qld,rain gauge;water level gauge;model point;,information,Border Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13464,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
541091,Ballandean Hill Alert,-28.7978,151.8303,qld,rain gauge;,data,Border Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13465,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
541092,Bony Mountain Alert,-28.1014,151.8767,qld,rain gauge;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13466,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541099,Jimbour West Tm,-26.8958,151.0869,qld,rain gauge;,data,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13472,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541100,Highland Plains Tm,-27.2681,151.77,qld,rain gauge;,data,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13473,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541101,Goomburra Alert,-28.0389,152.1081,qld,rain gauge;water level gauge;model point;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13474,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541102,Talgai Tm,-28.0008,151.7642,qld,rain gauge;,data,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13475,
541103,Campbells Gully Alert,-28.1781,152.0594,qld,rain gauge;water level gauge;model point;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13476,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541104,Torridon Alert,-28.0522,151.59,qld,rain gauge;water level gauge;model point;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13477,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541105,Upper Dalrymple Ck Alert,-27.9839,152.2909,qld,rain gauge;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13478,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541106,West Haldon Alert,-27.7781,152.0803,qld,rain gauge;,data,Brisbane River,Lockyer Valley Regional Council,2024/10/10 00:00:00,13479,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60336.html
541107,Inglewood Bridge Alert,-28.4133,151.0825,qld,rain gauge;water level gauge;model point;,official,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,13480,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
541108,Woodspring Alert,-28.3614,151.1381,qld,rain gauge;water level gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,13481,
541110,Artunga Alert,-28.4014,151.2925,qld,rain gauge;water level gauge;,information,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,13483,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
541111,Terraine Alert,-28.4833,151.2761,qld,rain gauge;water level gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,13484,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
541112,Barongarook Alert,-28.4314,151.4622,qld,rain gauge;water level gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,13485,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
541113,Upper Bracker Ck Alert,-28.7847,151.4122,qld,rain gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,13486,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
541114,Canning Creek Alert,-28.1711,151.1361,qld,rain gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,13487,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
541115,Nyora Alert,-28.1694,151.3928,qld,rain gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,13488,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
541116,Mt Burrabaranga Alert,-28.3614,151.6717,qld,rain gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,13489,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
541117,Sengs Road Al,-26.7186,151.2056,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13490,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541118,Jandowae Al,-26.7794,151.1086,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13491,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541119,Cooranga Al,-26.77,151.4064,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13492,
541120,Niagara Al,-26.6967,151.3933,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13493,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541121,Diamondy Al,-26.6333,151.2703,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13494,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541122,Jandowae-Macalister Road Al,-26.8919,151.0853,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13495,
541123,Chinchilla Al,-26.7369,150.6228,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13496,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541124,Burncluith Bridge Al,-26.6717,150.7206,qld,rain gauge;water level gauge;,information,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13497,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
