OBJECTID,LOCATION_NAME,LOCATION_ID,DATA_AVAILABLE_BETWEEN,LATITUDE,LONGITUDE,DEPTH,README,DOWNLOAD_METADATA,LIVE_WAVE,DOWNLOAD_DATA,LICENCE,PRODUCTION_DATE,STATUS,LIVEGIF_DIRPRD,LIVEGIF_DIR,LIVEGIF_HS
27,Albany 04,ALB50,26/07/2005 and 31/12/2023,-35.194887  (GDA2020),117.723994 (GDA2020),60m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/ALB50_Metadata.zip,http://www.transport.wa.gov.au/imarine/Albany-tide-and-wave.asp,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/ALB50_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Current,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWA_POLD.GIF,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWA_WDIR.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWA_Wave.gif
28,Geraldton 04,GER19,29/12/1983 and 19/01/1985,-28.75832  (GDA2020),114.583622  (GDA2020),10m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/GER19_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/GER19_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
29,Geraldton 05,GER20,29/12/1983 and 31/12/1984,-28.765265  (GDA2020),114.598622  (GDA2020),6m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/GER20_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/GER20_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
30,Augusta 03,AUG32,12/01/1989 and 15/08/1990,-34.327487  (GDA2020),115.212789  (GDA2020),13m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/AUG32_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/AUG32_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
31,Geraldton 02,GER10,13/03/1980 and 01/01/1985,-28.756098  (GDA2020),114.567233  (GDA2020),12m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/GER10_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
32,Geraldton 01,GER06,16/12/1976 and 09/02/1978,-28.757765  (GDA2020),114.536678  (GDA2020),10m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/GER06_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
33,Cottesloe,DCH38,"04/09/1999 and 31/12/2023",-31.979687  (GDA2020),115.689644 (GDA2020),17m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/DCH38_Metadata.zip,http://www.transport.wa.gov.au/imarine/cottesloe-tide-and-wave.asp,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/DCH38_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Current,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWM_POLD.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWM_wdir.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWM_WAVE.gif
34,Sorrento,SOR21,"07/06/1984 and 17/10/1984",-31.826654  (GDA2020),115.726678  (GDA2020),8m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/SOR21_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
35,Augusta 02,AUG30,"02/09/1988 and 22/02/1990",-34.366376  (GDA2020),115.169455  (GDA2020),10m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/AUG30_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
36,Guilderton 01,GUI28,11/04/1988 and 03/12/1988,-31.404709  (GDA2020),115.427789  (GDA2020),33m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/GUI28_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/GUI28_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
